Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Senior DBA,Data,remote,senior,Sporty Group,Remote,,15186-26033,"""MySQL"" ""MongoDB"" ""AWS RDS""","""Amazon AWS"" ""Python"" ""Shell Scripting""",/offers/sporty-group-senior-dba
Senior Java Developer,Java,remote,senior,MindPal,Kraków,,18000-30000,"""Spring"" ""Hibernate"" ""REST API"" ""Spring Boot"" ""MySQL"" ""PostgreSQL"" ""Agile"" ""Linux""",,/offers/mindpal-senior-java-developer-krakow
Application Manager Caseware,Support,hybrid,mid,Rödl & Partner,Gdańsk,None-None,None-None,"""MS Office"" ""Outlook"" ""XML"" ""caseware""","""MS SQL"" ""Finanse""",/offers/rodl-partner-application-manager-caseware-gdansk
Informatyk,Admin,office,mid,GOLDBECK Elementy Polska,Lućmierz-Las,None-None,,"""Microsoft Windows"" ""IT Support""",,/offers/goldbeck-elementy-polska-informatyk-lucmierz-las
Product Owner,PM,remote,senior,NeoGames,Warszawa,None-None,None-None,"""Product Management"" ""UI"" ""UX"" ""Mobile Apps"" ""Web Applications"" ""Analytical Thinking"" ""Communication Skills"" ""Project Management"" ""English""",,/offers/neogames-product-owner-warszawa
Senior Java Developer/Team Leader,Java,hybrid,senior,ER Group,Katowice,25000-28000,25000-28000,"""Java"" ""Spring Boot"" ""Kubernetes"" ""PostgreSQL"" ""Software Architecture""",,/offers/eagle-recruitment-group-senior-java-developer-team-leader
QA Automation Engineer,Testing,remote,senior,Digiteum,Gdańsk,15000-18000,18000-22000,"""Quality Assurance"" ""Automated Testing"" ""Java"" ""Linux"" ""Selenium"" ""Jenkins"" ""Docker"" ""Kubernetes""","""Cloud""",/offers/digiteum-qa-automation-engineer
Application Specialist for STIBO Systems/STEP,Java,remote,mid,Skillspark,Warszawa,,26880-30240,"""Java"" ""Stibo"" ""Microservices""","""Cloud""",/offers/skillspark-application-specialist-for-stibo-systems-step
Koordynator IT,PM,office,senior,Steriscience Sp. z o.o.,Warszawa,,,"""Microsoft Windows""",,/offers/steriscience-sp-z-o-o-koordynator-it
Cloud Security Governance Lead,Security,remote,c_level,HSBC Service Delivery,Kraków,None-None,,"""Communication Skills"" ""English"" ""Cybersecurity"" ""Agile""",,/offers/hsbc-service-delivery-cloud-security-governance-lead
