Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
React Developer,JS,remote,mid,Dietly.pl,Gdańsk,,13500-16500,"""React"" ""JavaScript"" ""Redux"" ""NextJS"" ""Confluence""","""React Native"" ""Node.js""",/offers/dietly-pl-react-developer
Test Manager with German,Testing,remote,mid,HN EXPERTS,Katowice,None-None,,"""JIRA"" ""HP ALM"" ""Selenium"" ""Zephyr"" ""Xray""",,/offers/hn-experts-test-manager-with-german-katowice-320984
Senior PHP Developer,PHP,hybrid,senior,Silky Coders,Gdańsk,None-None,None-None,"""PHP 7.x"" ""Symfony"" ""MySQL"" ""Git"" ""RabbitMQ"" ""Redis""",,/offers/silky-coders-senior-php-developer-gdansk-311721
Senior React Developer,JS,remote,senior,Sigma IT Poland,Warszawa,14000-16700,16800-20160,"""React"" ""Next.js"" ""TypeScript"" ""material UI"" ""HiCharts""",,/offers/sigma-it-poland-senior-react-developer-warszawa
Business Analyst with German,Data,remote,mid,HN EXPERTS,Warszawa,None-None,,"""Swift"" ""SEPA"" ""ISO20022"" ""AZV"" ""Target2"" ""crypto currency""",,/offers/hn-experts-business-analyst-with-german-warszawa-321082
PKI Operation Specialist,Admin,remote,senior,Ework Group,Wrocław,,27241-30268,"""PKI"" ""certificate services"" ""MS Windows Server"" ""Active Directory"" ""Cloud""",,/offers/ework-group-pki-operation-specialist-wroclaw
Administrator Citrix VDI,Admin,hybrid,junior,IT CONNECT,Warszawa,None-None,,"""Citrix VDI"" ""Powershell"" ""administracja usługami""",,/offers/it-connect-administrator-citrix-vdi
Information Security Risk Management Coordinator (ISRMC),Security,hybrid,mid,ERGO Technology & Services,Warszawa,None-None,,"""English"" ""Risk Management"" ""PMO""","""Project Management"" ""German""",/offers/ergo-technology-services-information-security-risk-management-coordinator-isrmc
Senior Machine Learning Engineer,Data,remote,senior,Volven,Warszawa,,35000-70000,"""AI"" ""Python 3"" ""Deep Learning"" ""PyTorch"" ""Git"" ""Containers"" ""MLOps""","""Cloud Computing"" ""crypto""",/offers/volven-senior-machine-learning-engineer
Konsultant projektu CRM,ERP,hybrid,mid,Soneta Sp. z o.o.,Kraków,None-None,None-None,"""Enova365"" ""XML"" ""PL/SQL"" ""testy""","""C#"" ""CRM"" ""ERP""",/offers/soneta-sp-z-o-o-konsultant-projektu-crm-krakow-322999
Inżynier Systemów Teleinformatycznych,Support,office,mid,Veolia Energia Polska,Warszawa,None-None,,"""Windows"" ""Bazy Danych"" ""SQL"" ""BigQuery"" ""Java"" ""Python"" ""Powershell"" ""ITIL""","""PI OSIsoft""",/offers/veolia-energia-polska-inzynier-systemow-teleinformatycznych
Analityk Biznesowo-Systemowy,ERP,hybrid,mid,Totalizator Sportowy,Warszawa,None-None,,"""UML"" ""BPMN"" ""Enterprise Architect""","""SAP""",/offers/totalizator-sportowy-analityk-biznesowo-systemowy-warszawa-330628
Technical Support Specialist,Support,office,mid,Nuctech,Kobyłka,None-None,,"""Network Administration"" ""Cisco"" ""Windows Server"" ""Linux"" ""IT Support""",,/offers/nuctech-technical-support-specialist
